Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,Traffic Type
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51649,443,54,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51649,1334,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51649,310,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51649,443,54,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51649,1334,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51649,304,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51649,443,54,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51649,443,347,HTTPS
2025-10-02 18:06:36,10.132.143.86,13.89.179.8,TCP,51653,443,66,HTTPS
2025-10-02 18:06:36,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:37,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:37,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:37,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:37,20.189.172.73,10.132.143.86,TCP,443,51638,54,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51648,212,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51648,443,54,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51648,118,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51648,443,85,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51649,212,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51649,443,54,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51648,54,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51649,1334,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51649,78,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51649,443,66,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51649,776,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51649,54,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51649,443,54,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51649,443,54,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51648,1334,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51648,443,54,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51648,1334,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51648,443,54,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51648,449,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51648,443,54,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51648,1334,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51648,443,54,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51649,443,78,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51649,443,54,HTTPS
2025-10-02 18:06:37,10.132.143.86,13.107.5.93,TCP,51655,443,66,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51648,1334,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51648,239,HTTPS
2025-10-02 18:06:37,10.132.143.86,140.82.114.21,TCP,51648,443,54,HTTPS
